Sign on,D,From,To,Sign off,D,,,,
17:16,TU,SRR,TVC,23:10,TU,,,,
17:45,TU,ERS,ED,1:35,WE,,,,
20:00,TU,ERN,ED,3:45,WE,,,,
22:55,TU,ERS,CLT,3:20,WE,,,,
23:15,TU,ERN,ED,6:35,WE,,,,
23:25,TU,ED,ERS,6:30,WE,,,,
0:45,WE,KCVL,ERS,5:35,WE,,,,
2:08,WE,ED,ERN,9:35,WE,,,,
2:29,WE,ERN,QLN,9:31,WE,,,,
2:50,WE,ERS,TVC,7:30,WE,,,,
3:25,WE,CLT,ERS,8:30,WE,,,,
4:15,WE,TVC,CLT,11:46,WE,,,,
4:48,WE,ED,ERS,11:57,WE,,,,
5:40,WE,KCVL,ERN,7:15,WE,,,,
7:20,WE,ERS,SRR,11:15,WE,,,,
7:40,WE,QLN,ERS,12:10,WE,,,,
8:00,WE,ERS,ED,15:42,WE,,,,
11:15,WE,TVC,ERN,17:07,WE,,,,
11:17,WE,ERS,KCVL,16:40,WE,,,,
11:20,WE,ED,ERS,17:10,WE,,,,
11:46,WE,ERN,TVC,18:35,WE,,,,
15:20,WE,CLT,ERS,20:10,WE,,,,
15:30,WE,KCVL,ERN,22:25,WE,,,,
17:16,WE,SRR,TVC,23:10,WE,,,,
18:15,WE,TVC,ERS,23:13,WE,,,,
19:55,WE,ERS,SRR,23:20,WE,,,,
20:17,WE,ED,ERS,3:40,TH,,,,
20:41,WE,ED,ERN,3:15,TH,,,,
20:45,WE,ERN,ED,3:57,TH,,,,
23:15,WE,ERN,ED,6:35,TH,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
